NAV,High_Water_Mark,Drawdown,Equity_Pct,Crypto_Pct,Defensive_Pct,Cash_Pct,Regime,Regime_Score,Equity_Ceiling,PDS_Status,PDS_Ceiling,Effective_Ceiling,PTRH_Value,PTRH_Notional,PTRH_Net_Cost,SLOF_Active,SLOF_Leverage,SLOF_Notional,PERM_Income,FEM_Score,FEM_Status,SSL_Worst_Scenario,SSL_Worst_Loss_Pct,VIX,HY_Spread,PMI,TNX_Yield,Total_Slippage,SPY_Price,QQQ_Price,BTC_Price,ARES_Tranche,ARES_Gates_Cleared,PCR_Status,PCR_Value,Shutdown_Status,Shutdown_Days,Correlation_Status,Equity_Crypto_Corr,Incap_Tier,CDM_Alerts,TDC_Reviews,JPVI_Count,SCCR_Count,PFVT_Count,ELVT_Count,Margin_Stress,Dealer_Gamma,RPE_Up_Prob,AUP_SLOF_Mult
500000000.0,500000000.0,0.0,0.5101672240802676,0.20000000000000004,0.14,0.14980582804687884,RISK_ON,0.1882655552734397,1.0,NORMAL,1.0,1.0,13473.936426797172,5984000,13473.936426797172,False,1.0,0.0,0.0,0.7101672240802676,WATCH,S2,-0.295620568187291,16.6,436.1568778366852,57.6,1.63,0.0,450.6444396972656,391.18621826171875,46458.1171875,1,4,CAUTIOUS,0.85,CLEAR,1486,NORMAL,0.0,0,0,0,5,5,7,0,NORMAL,POSITIVE,0.0,1.0
494486658.9317006,500000000.0,-0.011026682136598853,0.5073991428326152,0.1997899088159106,0.14129305296932468,0.15147610692927743,RISK_ON,0.19246548938787078,1.0,NORMAL,1.0,1.0,20663.832442618976,5984000,13473.936426797172,False,1.0,0.0,0.0,0.7072186052198803,WATCH,S2,-0.29465007963380824,16.91,438.72819659883226,57.6,1.66,0.0,450.493408203125,386.1123046875,45897.57421875,2,4,CAUTIOUS,0.85,CLEAR,1485,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
477730529.7718168,500000000.0,-0.044538940456366416,0.50109621126894,0.19630575408666825,0.1456690628801293,0.15678904603232297,RISK_ON,0.20101410031578243,1.0,NORMAL,1.0,1.0,66846.79404816558,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6974995634925576,WATCH,S2,-0.2911214852483229,19.73,440.14848526751496,57.6,1.71,0.0,441.8430480957031,374.25054931640625,43569.00390625,3,4,CAUTIOUS,0.85,CLEAR,1484,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
477430300.9009724,500000000.0,-0.045139398198055125,0.5027878793273884,0.19458941253578327,0.14559712812098646,0.1568876417816129,RISK_ON,0.1927375329106132,1.0,NORMAL,1.0,1.0,65855.89267367435,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6974735001262005,WATCH,S2,-0.29087622806697244,19.61,439.06848943005383,57.6,1.73,0.0,441.4279479980469,373.987548828125,43160.9296875,3,4,CAUTIOUS,0.85,CLEAR,1483,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
467738905.0261049,500000000.0,-0.06452218994779013,0.5000117453425091,0.19124430814009086,0.1484498860174439,0.16013830198550413,RISK_ON,0.18057763203000518,1.0,NORMAL,1.0,1.0,72854.31699830735,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6913637392715749,WATCH,S2,-0.28834390370003177,18.76,437.73653211694966,57.6,1.76,0.0,439.6828308105469,369.936279296875,41557.90234375,3,4,CAUTIOUS,0.85,CLEAR,1482,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
469786794.94162625,500000000.0,-0.06042641011674754,0.50113032128471,0.1916173019034774,0.14765397494212176,0.15944022869511806,RISK_ON,0.1855169061026058,1.0,NORMAL,1.0,1.0,74307.66872822764,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6928572146133485,WATCH,S2,-0.2888929127055828,19.4,436.4091063304451,57.6,1.78,0.0,439.1357116699219,370.1797180175781,41821.26171875,3,4,CAUTIOUS,0.85,CLEAR,1479,CONTAGION,0.973,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
476153320.6241442,500000000.0,-0.047693358751711656,0.5027346165898655,0.19318970503461372,0.14666865751596234,0.15730839370238203,RISK_ON,0.17340461649361527,1.0,NORMAL,1.0,1.0,46961.64839327929,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6959929654320746,WATCH,S2,-0.2901599308496924,18.41,435.15651893862406,57.6,1.75,0.0,443.1354064941406,375.7405700683594,42735.85546875,3,4,CAUTIOUS,0.85,CLEAR,1478,CONTAGION,0.983,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
479923264.3861068,500000000.0,-0.04015347122778645,0.5015469041652895,0.19711360157968685,0.1451896337407454,0.15607268824371617,RISK_ON,0.159670377358084,1.0,NORMAL,1.0,1.0,37036.76800831222,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6987144271237921,WATCH,S2,-0.2916180662785407,17.62,433.38517054158444,57.6,1.74,0.0,444.3335266113281,377.2306213378906,43949.1015625,3,4,CAUTIOUS,0.85,CLEAR,1477,CONTAGION,0.964,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
468580175.3450666,500000000.0,-0.06283964930986674,0.4953515351642211,0.19564922716589878,0.14895902472783948,0.15985079601005367,RISK_ON,0.1793185530644548,1.0,NORMAL,1.0,1.0,88757.01920376963,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6911316743714784,WATCH,S2,-0.2893371792466511,20.31,438.5368538099916,57.6,1.7,0.0,438.211181640625,367.79376220703125,42591.5703125,3,4,CAUTIOUS,0.85,CLEAR,1476,CONTAGION,0.964,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
471831099.0902411,500000000.0,-0.05633780181951786,0.4973131929553038,0.19661926655562376,0.14717207906979762,0.1587494214939692,RISK_ON,0.16787863670790917,1.0,NORMAL,1.0,1.0,68906.17846799149,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6940338161575987,WATCH,S2,-0.2900782691889586,19.19,432.47032146281924,57.6,1.78,0.0,438.3904113769531,370.08233642578125,43099.69921875,3,4,CAUTIOUS,0.85,CLEAR,1475,CONTAGION,0.967,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
