Date,NAV,High_Water_Mark,Drawdown,Equity_Pct,Crypto_Pct,Defensive_Pct,Cash_Pct,Regime,Regime_Score,Equity_Ceiling,PDS_Status,PDS_Ceiling,Effective_Ceiling,PTRH_Value,PTRH_Notional,PTRH_Net_Cost,SLOF_Active,SLOF_Leverage,SLOF_Notional,PERM_Income,FEM_Score,FEM_Status,SSL_Worst_Scenario,SSL_Worst_Loss_Pct,VIX,HY_Spread,PMI,TNX_Yield,Total_Slippage,SPY_Price,QQQ_Price,BTC_Price,Delev_Score,Micro_Score,EDR_Crypto_Stress,Crypto_Target_Pct,ARES_Tranche,ARES_Gates_Cleared,PCR_Status,PCR_Value,Shutdown_Status,Shutdown_Days,Correlation_Status,Equity_Crypto_Corr,Incap_Tier,CDM_Alerts,TDC_Reviews,JPVI_Count,SCCR_Count,PFVT_Count,ELVT_Count,Margin_Stress,Dealer_Gamma,RPE_Up_Prob,AUP_SLOF_Mult
2025-09-15,499999999.99999994,500000000.0,-1.1102230246251565e-16,0.58,0.2,0.14,0.07997976258949865,RISK_ON,0.2930500250620442,1.0,NORMAL,1.0,1.0,10118.705250677203,5989000,10118.705250677203,False,1.0,0.0,0.0,0.78,ALERT,S2,-0.31366192700000006,15.69,275.0,49.1,4.05,0.0,655.3511352539062,589.4910888671875,115444.875,0.20872632000000002,0.03,False,0.2,1,4,CAUTIOUS,0.85,CLEAR,135,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
2025-09-16,501146434.34666413,501134135.8040263,2.454141867236359e-05,0.5785650061325867,0.2019594101195137,0.13965424392426637,0.07979679900722716,RISK_ON,0.2917655180371883,1.0,NORMAL,1.0,1.0,12298.542637821567,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7805435714285837,ALERT,S2,-0.3141935954054041,16.36,279.0,49.1,4.04,0.0,654.4488525390625,588.992919921875,116843.1875,0.209402055,0.03,False,0.2,2,4,CAUTIOUS,0.85,CLEAR,134,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
2025-09-17,499880440.4393847,501134135.8040263,-0.002501716157551681,0.578241220282039,0.20182163014298027,0.1399170744060516,0.07999889185421824,RISK_ON,0.28453453666453676,1.0,NORMAL,1.0,1.0,10589.124687659165,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7800793750919212,ALERT,S2,-0.31408786102987285,15.72,279.0,49.1,4.06,0.0,653.6357421875,587.8173828125,116468.5078125,0.193734795,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,133,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
2025-09-18,505661843.9271746,505654310.00943685,1.4899344450647334e-05,0.5817532708647816,0.20065963057620062,0.13848796206524763,0.0790842373713067,RISK_ON,0.25123931687984535,1.0,NORMAL,1.0,1.0,7533.917737805372,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7824245588803034,ALERT,S2,-0.31458306568335653,15.7,271.0,49.1,4.11,0.0,656.6897583007812,593.11767578125,117137.203125,0.4709999999999999,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,132,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
2025-09-19,505004815.5383758,505654310.00943685,-0.001284463433227634,0.5833774447732389,0.19843641024376135,0.1389886660507411,0.07918712864572763,RISK_ON,0.24699883763761138,1.0,NORMAL,1.0,1.0,5226.9445403040145,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7818219470981689,ALERT,S2,-0.31398791314332497,15.45,272.0,49.1,4.14,0.0,659.9423217773438,597.1326904296875,115688.859375,0.184797405,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,131,NORMAL,0.0,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
2025-09-22,505161725.864959,505654310.00943685,-0.0009741519744361771,0.588072109290343,0.1933328738513819,0.1394230381412654,0.07916253201146024,RISK_ON,0.2543190894657597,1.0,NORMAL,1.0,1.0,4772.114079106917,5989000,10118.705250677203,False,1.0,0.0,0.0,0.781412364914249,ALERT,S2,-0.3128382169535163,16.1,269.0,49.1,4.15,0.0,663.0645141601562,600.667724609375,112748.5078125,0.21013023,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,128,NORMAL,0.474,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
2025-09-23,500579658.1733548,505654310.00943685,-0.010035812482221962,0.5854768223109923,0.19383240725731593,0.14078958394986632,0.07988714811279946,RISK_ON,0.2542321648674293,1.0,NORMAL,1.0,1.0,7027.321968306613,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7793201699524435,ALERT,S2,-0.3122904365897667,16.64,271.0,49.1,4.12,0.0,659.4551391601562,596.6779174804688,112014.5,0.20070227999999998,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,127,NORMAL,0.389,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
2025-09-24,501712043.58576006,505654310.00943685,-0.007796366698828772,0.5843610951952526,0.19566379168896794,0.14025514975414305,0.07970683942314742,RISK_ON,0.2481416795216797,1.0,NORMAL,1.0,1.0,6584.437999263926,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7800351240172074,ALERT,S2,-0.31288138665559245,16.18,270.0,49.1,4.16,0.0,657.3569946289062,594.583251953125,113328.6328125,0.4709999999999999,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,126,NORMAL,0.4,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
2025-09-25,495632992.7983098,505654310.00943685,-0.019818514373861507,0.5869142817803994,0.19058467346704802,0.14179879759423,0.08068446184134999,RISK_ON,0.2592750235361652,1.0,NORMAL,1.0,1.0,8814.989879034034,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7775127835587533,ALERT,S2,-0.31110013967287536,16.74,276.0,49.1,4.18,0.0,654.3242797851562,592.0198364257812,109049.2890625,0.18343825918708154,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,125,ELEVATED,0.655,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
2025-09-26,496431694.24630165,505654310.00943685,-0.01823897390089102,0.5861558540874319,0.19143584144375134,0.1418446950314945,0.08055464983045296,RISK_ON,0.24100358275770564,1.0,NORMAL,1.0,1.0,4447.832817932334,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7775986625095014,ALERT,S2,-0.31128171926263204,15.29,275.0,49.1,4.2,0.0,658.072998046875,594.4535522460938,109712.828125,0.4709999999999999,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,124,ELEVATED,0.661,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
2025-09-29,503317774.5826446,505654310.00943685,-0.004620815803485723,0.5831889753402457,0.19688405804360018,0.1404655552159939,0.079452551279178,RISK_ON,0.2354226410579054,1.0,NORMAL,1.0,1.0,4459.456375325504,5989000,10118.705250677203,False,1.0,0.0,0.0,0.7800799449865342,ALERT,S2,-0.31300677451445197,16.12,274.0,49.1,4.15,0.0,659.9224243164062,597.20654296875,114400.3828125,0.1837809433546891,0.03,False,0.2,3,4,CAUTIOUS,0.85,CLEAR,121,ELEVATED,0.79,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
